"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1164",200085,"G49004900005061",490490005061,"40","6",49
"1165",200086,"G49004900005062",490490005062,"29","4",49
"1166",200087,"G49004900005071",490490005071,"29","4",49
"1167",200088,"G49004900005072",490490005072,"26","3",49
"1168",200089,"G49004900005081",490490005081,"34","5",49
"1169",200090,"G49004900005082",490490005082,"36","5",49
"1170",200091,"G49004900005083",490490005083,"50","8",49
"1171",200092,"G49004900005091",490490005091,"48","8",49
"1172",200093,"G49004900005092",490490005092,"49","8",49
"1173",200094,"G49004900005093",490490005093,"60","9",49
"1174",200095,"G49004900006011",490490006011,"28","4",49
"1175",200096,"G49004900006012",490490006012,"23","3",49
"1176",200097,"G49004900006031",490490006031,"18","2",49
"1177",200098,"G49004900006032",490490006032,"17","2",49
"1178",200099,"G49004900006033",490490006033,"18","2",49
"1179",200100,"G49004900006041",490490006041,"14","1",49
"1180",200101,"G49004900006042",490490006042,"11","1",49
"1181",200102,"G49004900007031",490490007031,"47","8",49
"1182",200103,"G49004900007032",490490007032,"45","7",49
"1183",200104,"G49004900007033",490490007033,"36","5",49
"1184",200105,"G49004900007061",490490007061,"72","10",49
"1185",200106,"G49004900007062",490490007062,"33","5",49
"1186",200107,"G49004900007063",490490007063,"40","6",49
"1187",200108,"G49004900007064",490490007064,"34","5",49
"1188",200109,"G49004900007071",490490007071,"34","5",49
"1189",200110,"G49004900007072",490490007072,"31","4",49
"1190",200111,"G49004900007081",490490007081,"22","3",49
"1191",200112,"G49004900007082",490490007082,"26","3",49
"1192",200113,"G49004900007091",490490007091,"32","4",49
"1193",200114,"G49004900007092",490490007092,"16","2",49
"1194",200115,"G49004900007101",490490007101,"20","2",49
"1195",200116,"G49004900007102",490490007102,"16","2",49
"1196",200117,"G49004900007111",490490007111,"17","2",49
"1197",200118,"G49004900007112",490490007112,"12","1",49
"1198",200119,"G49004900008011",490490008011,"47","8",49
"1199",200120,"G49004900008012",490490008012,"72","10",49
"1200",200121,"G49004900008013",490490008013,"45","7",49
"1201",200122,"G49004900008021",490490008021,"48","8",49
"1202",200123,"G49004900008022",490490008022,"34","5",49
